player,position,seasonsplayed,ppg,rpg,apg,spg,bpg,totalpoints,totalrebounds,totalassists,totalsteals,totalblocks,rings,mvp,finalsmvp,allstar,allnba,alldefense,defensivepoy,active,
Russell Westbrook,G,13,23.2,7.4,8.5,1.7,0.3,"21,857","6,961","8,061","1,653",297,0,1,0,9,9,0,0,yes,
Nate Archibald,G,13,18.8,2.3,7.4,1.1,0.1,"16,481","2,046","6,476",719,81,1,0,0,6,5,NA,NA,no,
Larry Bird,F,13,24.3,10,6.3,1.7,0.8,"21,791","8,974","5,695","1,556",755,3,3,2,12,10,3,0,no,
Walt Frazier,G,13,18.9,5.9,6.1,1.9,0.2,"15,581","4,830","5,040",681,63,2,0,0,7,6,7,0,no,
Bill Russell,C,13,15.1,22.5,4.3,NA,NA,"14,522","21,620","4,100",NA,NA,11,5,0,12,11,1,NA,no,
Wes Unseld,C,13,10.8,14,3.9,1.1,0.6,"10,624","13,769","3,822",628,367,1,1,1,5,1,0,0,no,
Earl Monroe,G,13,18.8,3,3.9,NA,NA,"17,454","2,796","3,594",NA,NA,1,0,0,4,1,NA,NA,no,
Kevin McHale,F,13,17.9,7.3,1.7,0.4,1.7,"17,335","7,122","1,670",344,"1,893",3,0,0,7,1,6,0,no,
James Harden,G,12,25.1,5.5,6.5,1.6,0.5,"22,045","4,794","5,730","1,395",492,0,1,0,9,7,0,0,yes,
Dave Bing,G,12,20.3,3.8,6,1.3,0.2,"18,327","3,420","5,397",483,89,0,0,0,7,3,0,0,no,
James Worthy,F,12,17.6,5.1,3,1.1,0.7,"16,320","4,708","2,791","1,041",624,3,0,1,7,2,0,0,no,
Dave DeBusschere,F,12,16.1,11,2.9,NA,NA,"14,053","9,618","2,497",NA,NA,2,0,0,8,1,6,0,no,
Sam Jones,G,12,17.7,4.9,2.5,NA,NA,"15,411","4,305","2,209",NA,NA,10,0,0,5,3,NA,NA,no,
Stephen Curry,G,11,24.2,4.6,6.5,1.7,0.2,"18,434","3,503","4,984","1,317",174,3,2,0,7,7,0,0,yes,
Julius Erving,F,11,22,6.7,3.9,2,1.7,"18,364","5,601","3,224","2,272","1,941",1,1,0,11,7,1,0,no,
Dave Cowens,C,11,17.6,13.6,3.8,1.1,0.9,"13,516","10,444","2,910",599,488,2,1,0,7,3,3,0,no,
Jerry Lucas,F,11,17,15.6,3.3,NA,NA,"14,053","12,942","2,732",NA,NA,1,0,0,7,5,NA,NA,no,
Bob Pettit,F,11,26.4,16.2,3,NA,NA,"20,880","12,849","2,369",NA,NA,1,2,0,11,11,NA,NA,no,
Bill Sharman,G,11,17.8,3.9,3,NA,NA,"12,665","2,779","2,101",NA,NA,4,0,0,8,7,NA,NA,no,
Rick Barry,F,10,23.2,6.5,5.1,2,0.5,"18,395","5,168","4,017","1,104",269,1,0,1,8,6,0,0,no,
Pete Maravich,G,10,24.2,4.2,5.4,1.4,0.3,"15,948","2,747","3,563",587,108,0,0,0,5,4,0,0,no,
George Gervin,G,10,26.2,4.6,2.8,1.2,1,"20,708","3,607","2,214","1,283","1,047",0,0,0,9,7,0,0,no,
Kawhi Leonard,F,10,19.2,6.4,2.9,1.8,0.6,"11,085","3,689","1,672","1,013",367,2,0,2,5,5,7,2,yes,
Paul Arizin,F,10,22.8,8.6,2.3,NA,NA,"16,266","6,129","1,665",NA,NA,1,0,0,10,4,NA,NA,no,
Bill Walton,C,10,13.3,10.5,3.4,0.8,2.2,"6,215","4,923","1,590",380,"1,034",2,1,1,2,2,2,0,no,
Willis Reed,C,10,18.7,12.9,1.8,NA,NA,"12,183","8,414","1,186",NA,NA,2,1,2,7,5,1,0,no,
Damian Lillard,G,9,24.7,4.2,6.6,1,0.3,"16,815","2,856","4,514",678,217,0,0,0,6,6,0,0,yes,
Billy Cunningham,F,9,20.8,10.1,4,1.8,0.5,"13,626","6,638","2,625",390,66,1,0,0,5,4,0,0,no,
Anthony Davis,F,9,23.9,10.2,2.3,1.4,2.3,"13,463","5,769","1,292",802,"1,371",1,0,0,8,4,4,0,yes,
Giannis Antetokounmpo,F,8,20.9,9.1,4.5,1.2,1.3,"12,319","5,371","2,632",714,801,1,2,1,5,5,4,1,yes,
Klay Thompson,G,8,19.5,3.5,2.3,0.9,0.5,"11,995","2,130","1,416",561,332,3,0,0,5,2,1,0,yes,
George Mikan,C,7,23.1,13.4,2.8,NA,NA,"10,156","4,167","1,245",NA,NA,5,0,0,4,6,NA,NA,no,
